sr_no,state,mp_name,constituency,constituency_clean,allocated_amount_inr,is_reserved_sc,is_reserved_st,is_missing_amount,is_invalid_amount,is_duplicate_constituency,is_data_quality_issue
325,West Bengal,PATHAN YUSUF,BAHARAMPUR,BAHARAMPUR,147000000.0,False,False,False,False,False,False
326,Assam,PHANI BHUSAN CHOUDHURY,BARPETA,BARPETA,147000000.0,False,False,False,False,False,False
327,Maharashtra,Piyush Vedprakash Goyal,MUMBAI NORTH,MUMBAI NORTH,147000000.0,False,False,False,False,False,False
328,Andhra Pradesh,PRABHAKAR REDDY VEMIREDDY,NELLORE(SC),NELLORE,147000000.0,True,False,False,False,False,False
329,Gujarat,Prabhubhai Nagarbhai Vasava,BARDOLI(ST),BARDOLI,147000000.0,False,True,False,False,False,False
330,Assam,Pradan Baruah,LAKHIMPUR,LAKHIMPUR,147000000.0,False,False,False,False,False,False
331,Bihar,Pradeep Kumar Singh,ARARIA,ARARIA,147000000.0,False,False,False,False,False,False
332,Odisha,PRADEEP PUROHIT,BARGARH,BARGARH,147000000.0,False,False,False,False,False,False
333,Assam,Pradyut Bordoloi,NOWGONG,NOWGONG,98000000.0,False,False,False,False,False,False
334,Karnataka,Pralhad Venkatesh Joshi,DHARWAD,DHARWAD,147000000.0,False,False,False,False,False,False
335,Maharashtra,PRANITI SUSHILKUMAR SHINDE,SOLAPUR(SC),SOLAPUR,147000000.0,True,False,False,False,False,False
336,West Bengal,Prasun Banerjee,HOWRAH,HOWRAH,147000000.0,False,False,False,False,False,False
337,Odisha,Pratap Chandra Sarangi,BALASORE,BALASORE,147064254.11,False,False,False,False,False,False
338,Maharashtra,Prataprao Jadhav,BULDHANA,BULDHANA,147000000.0,False,False,False,False,False,False
339,West Bengal,Pratima Mondal,JOYNAGAR(SC),JOYNAGAR,147000000.0,True,False,False,False,False,False
340,Delhi,Praveen Khandelwal,CHANDINI CHOWK,CHANDINI CHOWK,147470276.0,False,False,False,False,False,False
341,Uttar Pradesh,PRAVEEN PATEL,PHULPUR,PHULPUR,151559884.09,False,False,False,False,False,False
342,Uttar Pradesh,PRIYA SAROJ,MACHHLISHAHR(SC),MACHHLISHAHR,147000000.0,True,False,False,False,False,False
343,Kerala,Priyanka Gandhi Vadra,WAYANAD,WAYANAD,122500000.0,False,False,False,False,False,False
344,Karnataka,PRIYANKA SATISH JARKIHOLI,CHIKKODI,CHIKKODI,147000000.0,False,False,False,False,False,False
345,West Bengal,Prof Sougata Ray,DUM DUM,DUM DUM,147000000.0,False,False,False,False,False,False
346,Uttar Pradesh,Prof SP Singh Baghel,AGRA(SC),AGRA,147000000.0,True,False,False,False,False,False
347,Uttar Pradesh,PUSHPENDRA SAROJ,KAUSHAMBI(SC),KAUSHAMBI,147000000.0,True,False,False,False,False,False
